Founder_Type,Economic_Climate,Founder_Age,Founder_Experience_Years,Industry,Funding_Stage,Work_Mode,Team_Size,Startup_Age_Months,Weekly_Work_Hours,Sleep_Hours,Exercise_Days_Per_Week,Vacation_Days_Taken,Investor_Pressure_Score,Cofounder_Conflict_Score,Stress_Score,Decision_Fatigue_Score,Burnout_Score,Burnout_Level,Founder_Burnout_Flag,Monthly_Revenue_Growth_Percent,Runway_Months_Remaining,Product_Market_Fit_Score,Employee_Turnover_Percent,Work_Life_Balance_Score,Seeks_Mental_Health_Support,Shutdown_Probability,Shutdown_Risk,Startup_Failure_Flag
Technical Builder,Stable Economy,37,3,AI,Series B,Hybrid,77,46,64.2,7.7,1.8,12.6,8.0,1.4,5.4,5.2,5.6,Moderate,0,33.8,17.5,8.6,34.3,5.9,No,0.076,Low,0
Chaotic Innovator,Recession,32,3,SaaS,Bootstrapped,Remote,4,44,71.2,6.0,3.1,0.0,4.2,4.6,5.3,5.9,2.2,Low,0,-11.4,3.1,5.4,32.1,8.0,No,0.491,Medium,0
Burned-Out Operator,Stable Economy,32,4,Gaming,Pre-Seed,Remote,13,134,46.9,5.1,3.1,4.5,4.2,3.8,1.0,4.9,5.3,Moderate,0,11.5,17.1,2.3,22.5,2.6,No,0.332,Low,0
Calm Operator,Stable Economy,38,0,SaaS,Pre-Seed,Remote,4,130,49.1,6.4,5.5,18.9,1.5,3.8,1.0,2.9,1.0,Low,0,-4.1,1.4,3.7,33.6,10.0,No,0.635,Medium,0
Technical Builder,Stable Economy,36,1,AI,Seed,Hybrid,27,99,51.2,8.3,4.2,8.4,7.9,2.0,1.4,1.8,1.0,Low,0,-5.7,11.7,5.8,21.2,10.0,No,0.035,Low,0
Serial Entrepreneur,Stable Economy,44,7,EdTech,Pre-Seed,Office,10,10,56.3,6.0,5.8,13.4,5.7,0.1,1.1,1.0,1.0,Low,0,24.9,18.8,7.3,8.5,8.7,No,0.016,Low,0
Solo Hustler,Stable Economy,27,4,SaaS,Series A,Remote,78,14,84.0,5.4,1.0,6.6,5.6,7.8,10.0,6.9,6.8,Severe,1,37.8,9.3,6.4,42.8,2.7,Yes,0.504,Medium,0
Calm Operator,Funding Winter,28,0,HealthTech,Pre-Seed,Hybrid,3,18,46.7,7.5,6.8,35.0,6.4,0.0,2.7,1.0,1.1,Low,0,1.6,11.0,7.0,8.5,10.0,No,0.153,Low,0
Technical Builder,Bull Market,37,3,HealthTech,Seed,Hybrid,11,121,61.6,6.9,2.6,12.0,3.5,4.5,1.1,1.3,1.0,Low,0,-3.4,5.6,5.0,19.8,9.2,No,0.542,Medium,0
Solo Hustler,Funding Winter,30,0,AI,Bootstrapped,Hybrid,4,69,75.7,4.4,4.3,11.7,4.0,8.2,8.3,5.6,6.4,Moderate,0,17.5,1.0,6.2,54.8,3.0,No,0.933,High,1
Visionary CEO,Stable Economy,37,2,ClimateTech,Pre-Seed,Office,12,100,46.7,5.9,4.3,13.4,2.7,0.9,1.0,1.0,1.0,Low,0,-5.3,30.2,5.4,30.9,9.9,No,0.008,Low,0
Technical Builder,Bull Market,33,0,E-commerce,Seed,Remote,9,30,45.3,7.8,4.5,7.9,6.1,3.8,3.1,5.1,1.1,Low,0,-5.3,14.6,1.0,16.8,9.6,Yes,0.169,Low,0
Calm Operator,Funding Winter,30,0,EdTech,Series C,Remote,216,141,63.5,7.2,3.7,23.7,9.2,1.0,5.2,2.3,1.2,Low,0,6.1,9.3,6.4,16.6,9.9,No,0.19,Low,0
Serial Entrepreneur,Funding Winter,41,6,E-commerce,Bootstrapped,Remote,2,61,78.5,5.1,3.9,3.4,7.8,6.4,7.4,7.5,4.5,Moderate,0,-4.2,8.5,4.6,28.7,5.2,No,0.588,Medium,0
Calm Operator,Bull Market,38,3,SaaS,Seed,Hybrid,10,54,58.6,6.1,5.9,13.8,5.8,2.6,3.5,1.7,1.0,Low,0,-19.8,6.8,5.2,23.1,8.5,No,0.149,Low,0
Growth Obsessed Founder,Bull Market,34,2,AI,Series B,Remote,72,18,79.2,5.8,3.8,5.9,4.9,6.9,5.6,3.4,4.2,Moderate,0,0.9,12.2,2.7,48.1,3.9,No,0.751,High,1
Technical Builder,Bull Market,43,4,E-commerce,Bootstrapped,Office,3,131,75.0,5.1,4.2,20.5,4.8,2.8,4.5,1.5,2.5,Low,0,13.3,5.1,4.6,32.9,5.9,No,0.611,Medium,0
Growth Obsessed Founder,Stable Economy,22,2,SaaS,Pre-Seed,Remote,3,67,56.1,5.5,3.8,0.0,3.7,4.2,4.5,4.5,2.2,Low,0,12.8,10.4,7.5,33.4,7.9,No,0.282,Low,0
Growth Obsessed Founder,Funding Winter,39,1,AI,Series B,Remote,206,104,59.8,5.8,4.7,14.2,8.1,3.1,5.6,6.9,5.9,Moderate,0,2.7,16.5,9.6,43.1,4.8,Yes,0.264,Low,0
Serial Entrepreneur,Stable Economy,39,6,ClimateTech,Series C,Remote,743,7,72.5,5.5,5.2,8.1,8.3,5.4,6.5,5.7,4.7,Moderate,0,13.6,21.2,5.3,49.6,5.9,No,0.048,Low,0
Visionary CEO,Bull Market,29,1,Cybersecurity,Series B,Hybrid,82,80,50.4,6.4,4.7,6.0,6.8,0.7,2.2,1.0,1.0,Low,0,-1.9,13.2,8.8,23.9,9.1,No,0.024,Low,0
Chaotic Innovator,Stable Economy,24,2,HealthTech,Series A,Hybrid,41,34,56.9,6.8,4.2,11.1,5.8,3.0,3.0,3.6,1.0,Low,0,-6.4,10.8,5.2,20.4,10.0,No,0.243,Low,0
Calm Operator,Recession,28,1,Cybersecurity,Bootstrapped,Remote,2,137,46.8,6.3,5.6,9.7,7.7,0.3,3.3,1.0,1.2,Low,0,20.4,2.0,8.5,8.7,10.0,No,0.441,Medium,0
Solo Hustler,Bull Market,41,1,AI,Series B,Hybrid,73,66,55.6,6.4,5.1,9.5,7.6,0.9,3.8,3.4,2.0,Low,0,-8.0,13.0,5.3,2.9,8.7,No,0.224,Low,0
Serial Entrepreneur,Recession,38,6,Cybersecurity,Seed,Office,17,104,46.6,7.2,4.2,0.0,7.4,4.0,3.9,1.9,2.2,Low,0,-7.5,14.4,5.6,21.4,9.8,No,0.494,Medium,0
Solo Hustler,Stable Economy,32,4,AI,Pre-Seed,Hybrid,9,113,61.6,5.4,3.9,2.8,5.0,2.8,4.1,3.2,1.3,Low,0,-0.7,9.5,4.6,28.7,7.9,No,0.204,Low,0
Burned-Out Operator,Stable Economy,40,1,E-commerce,Seed,Remote,20,141,72.1,5.6,3.9,0.0,5.1,3.0,5.5,9.4,6.1,Moderate,0,0.3,12.7,5.5,49.2,5.2,No,0.208,Low,0
Solo Hustler,Recession,46,2,E-commerce,Series A,Hybrid,69,79,71.1,6.1,3.8,26.4,6.5,0.8,4.0,1.8,2.7,Low,0,15.1,7.6,6.2,30.6,9.9,No,0.218,Low,0
Growth Obsessed Founder,Bull Market,36,0,SaaS,Bootstrapped,Hybrid,4,42,73.6,5.1,1.7,22.8,3.6,5.4,5.8,5.7,3.8,Moderate,0,33.7,16.6,1.0,64.2,5.6,No,0.485,Medium,0
Technical Builder,Funding Winter,45,2,AI,Pre-Seed,Remote,10,134,37.4,6.5,5.0,4.0,8.5,4.4,3.4,3.1,5.1,Moderate,0,12.9,16.2,7.3,42.3,4.9,No,0.212,Low,0
Solo Hustler,Recession,33,0,EdTech,Seed,Remote,6,38,78.6,3.8,4.1,3.7,6.7,3.8,6.6,5.9,5.3,Moderate,0,-30.1,11.1,1.0,42.6,4.6,No,0.946,High,1
Technical Builder,Bull Market,43,3,SaaS,Seed,Remote,13,138,56.5,7.5,4.3,4.0,3.9,5.3,2.1,2.6,1.0,Low,0,-9.2,12.5,7.0,33.5,10.0,No,0.296,Low,0
Serial Entrepreneur,Funding Winter,32,7,Cybersecurity,Series A,Remote,24,134,50.3,7.0,5.4,9.4,7.0,5.3,4.4,3.7,2.9,Low,0,3.8,13.4,10.0,41.0,8.2,No,0.401,Medium,0
Technical Builder,Stable Economy,46,7,AI,Series A,Remote,23,27,71.9,5.4,4.2,3.4,6.4,6.5,6.4,6.6,6.0,Moderate,0,0.3,16.0,3.7,68.8,4.6,Yes,0.327,Low,0
Chaotic Innovator,Stable Economy,37,3,FinTech,Series A,Hybrid,57,20,72.5,4.4,2.8,1.4,6.5,6.8,8.9,5.6,4.3,Moderate,0,31.3,11.9,4.8,51.2,5.6,No,0.345,Low,0
Burned-Out Operator,Bull Market,33,2,Biotech,Pre-Seed,Remote,12,97,53.3,4.9,4.8,18.2,3.1,5.2,2.7,4.9,3.8,Moderate,0,-4.3,14.2,2.7,26.7,7.8,No,0.452,Medium,0
Growth Obsessed Founder,Recession,25,1,AI,Bootstrapped,Hybrid,2,77,77.0,4.0,2.9,3.8,7.5,4.9,9.5,10.0,7.4,Severe,1,-1.3,2.4,1.0,41.2,1.7,Yes,0.935,High,1
Visionary CEO,Bull Market,46,2,AI,Series B,Hybrid,78,140,40.5,6.7,3.4,17.2,6.7,1.8,1.3,1.0,2.3,Low,0,18.5,16.3,7.5,35.2,9.3,Yes,0.017,Low,0
Solo Hustler,Stable Economy,26,1,FinTech,Bootstrapped,Remote,7,41,76.4,4.9,3.0,10.1,3.9,3.6,7.5,7.6,4.8,Moderate,0,1.0,12.9,3.7,30.3,5.2,No,0.486,Medium,0
Growth Obsessed Founder,Funding Winter,36,1,Biotech,Bootstrapped,Hybrid,7,49,85.2,5.3,3.4,17.7,6.7,6.5,10.0,8.7,2.1,Low,0,24.0,19.2,5.0,45.8,7.2,No,0.391,Medium,0
Technical Builder,Recession,43,7,AI,Bootstrapped,Hybrid,2,24,68.1,5.8,3.3,9.6,6.9,7.9,8.2,6.8,4.1,Moderate,0,-1.2,19.1,1.1,42.7,6.0,No,0.638,Medium,0
Technical Builder,Bull Market,36,2,SaaS,Seed,Hybrid,29,31,46.0,6.0,4.8,17.7,1.7,2.4,1.6,1.3,1.0,Low,0,18.1,14.5,6.9,0.0,9.7,No,0.057,Low,0
Technical Builder,Recession,33,1,FinTech,Series A,Hybrid,71,85,44.9,6.7,5.7,0.0,10.0,2.2,2.9,3.3,1.0,Low,0,12.7,12.8,7.3,33.7,10.0,No,0.244,Low,0
Solo Hustler,Recession,36,0,SaaS,Bootstrapped,Remote,2,89,74.2,4.5,0.3,2.6,5.3,5.1,8.5,7.3,5.5,Moderate,0,-8.2,12.0,1.0,42.2,2.5,No,0.924,High,1
Solo Hustler,Stable Economy,29,2,FinTech,Seed,Remote,20,46,79.1,5.0,2.9,7.1,6.3,8.4,9.7,4.9,4.4,Moderate,0,0.6,12.7,3.8,50.5,3.2,No,0.707,High,1
Growth Obsessed Founder,Bull Market,37,1,E-commerce,Seed,Office,8,111,48.1,6.5,4.5,14.9,6.9,5.6,5.3,4.0,4.4,Moderate,0,42.5,9.7,5.7,46.5,6.8,No,0.263,Low,0
Technical Builder,Funding Winter,27,1,SaaS,Series B,Hybrid,133,73,70.1,5.5,2.8,23.1,1.8,5.4,2.8,5.7,1.3,Low,0,-15.1,22.7,1.8,26.2,8.8,Yes,0.591,Medium,0
Serial Entrepreneur,Stable Economy,40,6,FinTech,Bootstrapped,Hybrid,4,52,61.1,6.4,4.2,16.0,4.5,6.4,4.1,4.0,3.1,Low,0,15.9,14.8,9.2,22.0,4.9,No,0.051,Low,0
Serial Entrepreneur,Stable Economy,45,7,Cybersecurity,Series B,Hybrid,168,110,48.6,7.0,6.2,8.5,7.4,0.0,1.0,1.0,1.0,Low,0,-16.5,28.4,7.6,34.5,9.2,No,0.004,Low,0
Visionary CEO,Funding Winter,21,4,Cybersecurity,Bootstrapped,Remote,3,133,72.9,5.7,3.1,4.0,6.4,2.3,5.1,5.6,3.7,Moderate,0,-1.7,10.6,6.9,32.6,6.6,No,0.156,Low,0
Burned-Out Operator,Stable Economy,40,3,E-commerce,Bootstrapped,Remote,3,132,80.1,3.7,2.8,8.8,5.9,4.6,8.5,10.0,10.0,Severe,1,24.9,15.0,3.8,56.3,1.0,Yes,0.635,Medium,0
Solo Hustler,Stable Economy,31,2,FinTech,Series C,Remote,763,31,74.0,5.7,2.9,1.9,6.0,5.4,7.2,8.4,8.0,Severe,1,14.4,17.8,1.0,67.1,1.4,No,0.565,Medium,0
Serial Entrepreneur,Funding Winter,37,8,FinTech,Pre-Seed,Hybrid,12,66,70.7,4.5,3.1,17.3,10.0,5.0,8.3,6.8,4.6,Moderate,0,5.8,3.1,3.1,40.0,4.9,No,0.393,Medium,0
Solo Hustler,Funding Winter,28,2,EdTech,Seed,Hybrid,7,33,59.2,6.8,1.9,12.4,7.7,0.4,3.5,3.0,1.0,Low,0,10.8,13.2,5.4,37.2,10.0,Yes,0.05,Low,0
Growth Obsessed Founder,Bull Market,23,0,Gaming,Series B,Remote,137,132,70.9,4.7,2.4,7.9,5.8,4.3,5.4,5.3,5.4,Moderate,0,21.6,11.3,5.8,45.1,4.5,No,0.424,Medium,0
Growth Obsessed Founder,Stable Economy,22,2,Gaming,Pre-Seed,Hybrid,2,26,82.3,4.1,2.4,4.3,5.8,9.5,8.6,8.3,8.4,Severe,1,26.3,12.5,3.3,74.6,1.0,No,0.696,High,1
Growth Obsessed Founder,Stable Economy,38,1,Cybersecurity,Series C,Office,606,48,61.6,6.0,5.2,2.6,10.0,3.5,4.5,1.7,2.0,Low,0,-3.7,13.9,1.9,32.8,7.9,Yes,0.536,Medium,0
Growth Obsessed Founder,Stable Economy,39,2,EdTech,Series A,Remote,82,49,50.7,7.4,4.9,5.1,10.0,3.7,3.5,1.0,1.6,Low,0,20.5,15.2,9.1,10.1,10.0,No,0.046,Low,0
Growth Obsessed Founder,Stable Economy,43,4,E-commerce,Series A,Hybrid,46,60,71.8,4.9,3.6,3.1,6.3,4.6,7.2,6.1,5.5,Moderate,0,0.8,19.8,5.8,39.7,4.3,Yes,0.287,Low,0
Chaotic Innovator,Funding Winter,35,0,Cybersecurity,Seed,Hybrid,20,81,62.6,6.4,3.1,14.6,7.3,1.0,4.0,3.9,1.2,Low,0,26.1,11.8,10.0,22.8,9.6,No,0.284,Low,0
Chaotic Innovator,Stable Economy,30,0,E-commerce,Seed,Remote,6,26,73.4,5.7,3.2,2.9,5.0,6.2,6.6,6.0,4.0,Moderate,0,32.8,12.1,3.5,46.9,6.1,No,0.596,Medium,0
Growth Obsessed Founder,Bull Market,35,1,Cybersecurity,Bootstrapped,Remote,2,53,71.1,6.0,3.3,0.1,6.8,8.8,7.9,8.7,5.7,Moderate,0,15.2,6.7,5.4,61.7,4.4,Yes,0.711,High,1
Growth Obsessed Founder,Stable Economy,32,1,ClimateTech,Bootstrapped,Hybrid,7,73,88.6,5.3,1.1,7.7,2.6,7.6,8.1,3.6,3.2,Low,0,22.3,14.6,10.0,39.6,5.9,No,0.381,Medium,0
Technical Builder,Stable Economy,35,0,Biotech,Series B,Hybrid,144,63,63.2,4.8,4.3,10.8,7.1,4.8,4.7,3.3,1.7,Low,0,14.3,25.5,5.0,31.7,7.5,No,0.139,Low,0
Technical Builder,Stable Economy,34,0,HealthTech,Pre-Seed,Remote,8,127,57.7,5.1,4.4,23.2,2.0,2.4,1.0,2.4,1.9,Low,0,-1.9,13.6,2.1,28.4,8.0,No,0.178,Low,0
Serial Entrepreneur,Funding Winter,44,10,Biotech,Pre-Seed,Hybrid,12,29,49.2,5.7,2.9,13.2,4.7,0.0,2.0,1.0,1.0,Low,0,-17.4,18.6,7.6,14.7,9.8,No,0.039,Low,0
Chaotic Innovator,Stable Economy,25,0,Biotech,Seed,Remote,25,69,74.5,5.7,3.9,0.0,3.9,6.6,6.3,4.4,4.4,Moderate,0,-0.7,7.7,7.3,54.3,3.2,No,0.751,High,1
Technical Builder,Stable Economy,28,2,SaaS,Seed,Hybrid,15,4,60.3,7.0,4.6,11.7,6.8,2.6,2.9,1.1,1.0,Low,0,18.0,7.4,7.7,0.0,10.0,No,0.089,Low,0
Solo Hustler,Stable Economy,34,2,Cybersecurity,Seed,Hybrid,15,72,67.7,5.5,3.2,20.4,2.8,3.0,5.9,1.0,1.2,Low,0,10.4,16.0,4.9,24.6,7.5,No,0.298,Low,0
Technical Builder,Recession,43,3,AI,Series A,Hybrid,29,100,92.6,5.1,2.5,10.8,10.0,4.3,8.8,6.9,5.3,Moderate,0,0.2,11.8,7.4,52.1,6.0,No,0.58,Medium,0
Chaotic Innovator,Bull Market,42,5,ClimateTech,Bootstrapped,Office,6,38,98.6,3.5,1.6,7.1,6.0,8.3,10.0,8.8,8.4,Severe,1,10.8,14.2,6.5,72.7,1.0,Yes,0.695,High,1
Growth Obsessed Founder,Stable Economy,40,0,AI,Pre-Seed,Remote,12,5,58.0,6.0,4.2,12.7,8.3,4.0,3.8,4.5,3.0,Low,0,-3.5,11.4,4.6,32.9,7.5,No,0.106,Low,0
Technical Builder,Recession,47,6,E-commerce,Bootstrapped,Hybrid,6,53,93.9,3.1,1.6,1.8,8.1,5.9,10.0,10.0,9.1,Severe,1,3.5,3.9,4.5,60.6,1.0,No,0.938,High,1
Burned-Out Operator,Stable Economy,31,2,HealthTech,Series B,Remote,183,118,54.6,5.1,3.9,0.0,5.2,2.5,5.2,7.2,7.5,Severe,1,5.4,18.3,3.5,61.1,3.8,No,0.221,Low,0
Growth Obsessed Founder,Stable Economy,29,1,FinTech,Seed,Office,10,121,67.4,6.6,5.1,0.0,6.4,5.1,4.6,4.2,4.0,Moderate,0,14.0,13.4,1.1,42.0,7.1,No,0.38,Medium,0
Chaotic Innovator,Funding Winter,31,3,AI,Series C,Hybrid,381,140,59.7,5.4,4.2,1.8,10.0,4.3,5.3,7.0,2.9,Low,0,-6.1,14.7,4.5,46.5,6.9,No,0.271,Low,0
Calm Operator,Recession,26,0,ClimateTech,Series A,Office,74,25,54.7,6.3,5.3,13.1,1.0,0.0,1.0,1.0,1.0,Low,0,-22.6,8.6,5.7,24.8,9.8,No,0.433,Medium,0
Growth Obsessed Founder,Funding Winter,37,1,Cybersecurity,Series A,Office,42,122,43.4,5.8,4.7,13.1,7.6,3.4,3.1,6.3,6.3,Moderate,0,3.3,10.3,1.9,51.5,5.1,No,0.836,High,1
Technical Builder,Stable Economy,25,1,SaaS,Bootstrapped,Remote,1,131,75.6,5.8,2.6,3.3,6.9,2.3,5.6,3.6,3.4,Low,0,-3.0,15.7,7.7,48.2,5.6,No,0.07,Low,0
Visionary CEO,Funding Winter,27,1,FinTech,Bootstrapped,Hybrid,7,52,63.3,5.5,2.8,14.3,6.2,5.1,6.6,4.3,3.2,Low,0,6.0,7.8,6.7,27.4,7.2,No,0.678,High,1
Calm Operator,Stable Economy,34,0,FinTech,Series B,Remote,124,85,41.5,6.7,5.7,19.9,7.0,1.2,1.4,2.0,1.2,Low,0,23.8,30.7,5.2,0.0,9.9,Yes,0.011,Low,0
Technical Builder,Funding Winter,35,2,E-commerce,Pre-Seed,Hybrid,12,62,41.5,7.7,6.7,25.5,3.7,3.8,1.0,2.2,1.0,Low,0,14.4,8.7,9.6,19.0,10.0,No,0.217,Low,0
Solo Hustler,Stable Economy,35,2,FinTech,Pre-Seed,Hybrid,6,65,71.8,5.8,5.0,15.9,6.8,0.7,2.8,2.0,1.0,Low,0,37.5,7.6,10.0,14.8,10.0,No,0.092,Low,0
Calm Operator,Funding Winter,29,0,EdTech,Series B,Remote,50,62,48.0,7.4,4.9,30.8,7.1,4.8,3.0,3.2,1.0,Low,0,-7.5,20.1,1.0,40.5,9.4,No,0.282,Low,0
Serial Entrepreneur,Stable Economy,33,5,AI,Bootstrapped,Remote,4,122,42.9,7.4,4.5,12.7,4.2,0.5,1.0,1.0,1.0,Low,0,-27.5,13.2,2.9,21.5,10.0,No,0.156,Low,0
Technical Builder,Recession,22,1,HealthTech,Series B,Hybrid,183,15,68.7,7.1,0.9,12.8,6.6,4.6,7.5,4.8,3.3,Low,0,3.0,9.4,7.6,39.9,7.3,No,0.471,Medium,0
Serial Entrepreneur,Stable Economy,27,5,E-commerce,Seed,Hybrid,20,31,60.5,5.9,3.6,3.4,3.4,1.8,1.2,2.7,1.0,Low,0,18.7,18.0,10.0,8.3,9.0,No,0.014,Low,0
Burned-Out Operator,Funding Winter,34,2,SaaS,Seed,Hybrid,29,11,53.2,3.9,3.9,13.3,8.6,0.0,3.7,6.4,3.3,Low,0,-3.8,19.8,6.7,34.8,7.1,No,0.1,Low,0
Calm Operator,Funding Winter,46,4,AI,Pre-Seed,Hybrid,6,34,49.6,7.0,4.3,5.9,4.2,2.2,1.4,1.0,3.0,Low,0,-15.1,24.0,2.1,33.9,8.6,No,0.253,Low,0
Growth Obsessed Founder,Bull Market,38,3,HealthTech,Bootstrapped,Remote,1,40,94.9,4.0,3.5,16.9,5.8,8.7,10.0,10.0,7.8,Severe,1,4.4,4.4,6.7,66.3,1.0,No,0.604,Medium,0
Serial Entrepreneur,Recession,39,6,EdTech,Seed,Hybrid,18,102,55.7,6.4,1.9,20.2,5.3,0.1,1.0,1.8,1.0,Low,0,5.6,5.3,10.0,0.0,10.0,No,0.1,Low,0
Calm Operator,Funding Winter,27,2,EdTech,Bootstrapped,Remote,7,111,60.0,6.0,4.6,6.1,8.1,2.3,4.5,5.2,2.5,Low,0,-9.6,4.8,2.9,36.9,8.2,No,0.572,Medium,0
Calm Operator,Stable Economy,44,3,SaaS,Pre-Seed,Hybrid,3,13,69.3,6.3,3.1,18.4,7.8,3.2,3.8,4.3,1.9,Low,0,-1.3,20.8,5.9,19.4,9.7,Yes,0.173,Low,0
Burned-Out Operator,Funding Winter,39,2,SaaS,Series A,Remote,89,32,50.0,5.7,4.3,0.0,10.0,5.0,4.7,6.3,9.0,Severe,1,-13.8,5.1,1.5,61.3,1.0,Yes,0.861,High,1
Growth Obsessed Founder,Stable Economy,36,2,AI,Pre-Seed,Hybrid,2,108,71.1,4.7,3.6,17.3,4.4,8.7,9.2,6.0,4.5,Moderate,0,18.9,20.4,6.1,59.1,3.1,No,0.486,Medium,0
Visionary CEO,Bull Market,37,2,AI,Series B,Remote,101,113,62.8,5.4,4.5,12.7,4.6,2.3,3.6,3.0,2.6,Low,0,-1.1,11.9,6.6,26.4,7.1,No,0.091,Low,0
Technical Builder,Funding Winter,25,5,SaaS,Seed,Office,16,107,44.5,8.0,2.6,3.6,8.7,1.6,2.5,2.2,4.5,Moderate,0,17.3,1.0,8.8,37.9,6.9,Yes,0.471,Medium,0
Burned-Out Operator,Stable Economy,21,0,SaaS,Bootstrapped,Remote,7,81,60.3,4.9,3.3,19.0,4.9,0.5,4.9,5.8,3.9,Moderate,0,30.9,8.0,6.2,28.3,5.5,Yes,0.357,Medium,0
Serial Entrepreneur,Recession,37,6,HealthTech,Seed,Office,8,141,48.1,6.6,5.0,0.0,6.8,3.0,3.0,1.0,1.0,Low,0,21.1,10.2,4.7,8.3,9.5,No,0.331,Low,0
Technical Builder,Bull Market,21,2,SaaS,Pre-Seed,Office,13,3,39.9,7.3,3.7,2.5,1.3,0.5,1.0,1.3,1.0,Low,0,10.2,16.1,8.5,0.5,10.0,No,0.018,Low,0
Solo Hustler,Stable Economy,28,0,SaaS,Pre-Seed,Office,11,20,64.1,6.8,3.4,8.6,6.6,8.4,6.5,5.4,5.4,Moderate,0,10.5,7.7,1.3,40.2,5.1,No,0.916,High,1
Technical Builder,Stable Economy,41,5,ClimateTech,Seed,Remote,16,36,59.2,5.9,3.9,13.1,2.9,0.0,2.5,1.0,1.1,Low,0,17.4,18.3,9.9,42.1,9.5,No,0.014,Low,0
Technical Builder,Recession,31,1,AI,Pre-Seed,Office,14,120,65.2,6.0,4.8,5.5,6.0,3.0,3.6,8.4,4.2,Moderate,0,14.3,2.5,6.4,48.6,7.4,No,0.765,High,1
Calm Operator,Stable Economy,40,1,SaaS,Pre-Seed,Hybrid,3,100,53.8,6.5,6.3,5.4,4.0,0.0,1.0,1.0,1.0,Low,0,-0.9,23.8,5.6,13.6,9.8,No,0.05,Low,0
Calm Operator,Stable Economy,41,3,AI,Series A,Office,56,68,37.1,7.6,5.0,15.1,5.1,0.5,1.0,2.5,1.0,Low,0,20.1,16.4,10.0,17.2,10.0,Yes,0.025,Low,0
Serial Entrepreneur,Recession,38,7,Biotech,Bootstrapped,Remote,7,65,64.0,4.9,2.2,10.6,8.2,3.1,8.0,7.1,2.6,Low,0,-11.2,9.6,7.6,28.3,7.7,No,0.304,Low,0
Chaotic Innovator,Funding Winter,28,1,FinTech,Series B,Hybrid,177,131,61.8,5.2,3.9,8.9,9.8,2.9,7.6,8.8,4.3,Moderate,0,14.6,9.9,4.3,36.2,4.3,No,0.561,Medium,0
Visionary CEO,Recession,32,0,Biotech,Series A,Hybrid,52,106,75.7,5.2,2.4,8.5,10.0,2.6,8.3,8.4,6.6,Severe,1,2.1,4.8,4.9,40.8,1.7,Yes,0.793,High,1
Serial Entrepreneur,Stable Economy,37,6,AI,Bootstrapped,Remote,6,94,49.2,7.4,4.7,4.9,3.6,0.0,1.0,2.5,1.0,Low,0,13.1,15.1,6.2,10.2,10.0,Yes,0.021,Low,0
Growth Obsessed Founder,Recession,33,1,FinTech,Pre-Seed,Remote,14,119,63.4,6.3,3.6,8.0,6.8,3.6,3.8,4.2,2.8,Low,0,-17.7,14.2,3.4,26.3,6.1,No,0.541,Medium,0
Technical Builder,Stable Economy,28,2,SaaS,Seed,Hybrid,13,52,62.1,5.7,4.2,6.1,6.4,5.1,6.1,5.0,3.1,Low,0,18.2,6.6,6.7,51.1,7.2,No,0.261,Low,0
Burned-Out Operator,Recession,35,1,E-commerce,Seed,Remote,8,104,74.3,3.7,3.0,10.1,8.7,2.7,9.4,8.2,8.1,Severe,1,4.7,9.8,4.8,65.4,1.0,No,0.773,High,1
Solo Hustler,Stable Economy,32,1,SaaS,Seed,Remote,20,9,64.4,6.2,3.6,15.2,5.1,5.1,3.6,4.2,1.4,Low,0,11.7,16.9,3.2,37.2,9.4,Yes,0.224,Low,0
Serial Entrepreneur,Bull Market,45,7,HealthTech,Pre-Seed,Remote,14,29,37.3,6.4,5.4,4.9,5.0,3.8,1.8,2.3,1.0,Low,0,4.7,10.2,5.7,32.2,9.8,No,0.307,Low,0
Chaotic Innovator,Stable Economy,41,2,Biotech,Seed,Hybrid,26,102,68.0,4.1,2.3,11.0,1.0,6.4,4.0,4.3,3.4,Low,0,25.4,17.2,3.7,25.9,3.3,No,0.229,Low,0
Growth Obsessed Founder,Funding Winter,42,2,FinTech,Bootstrapped,Hybrid,1,126,76.7,6.9,3.6,7.4,2.3,9.4,6.6,6.0,1.4,Low,0,37.1,14.2,8.9,47.0,10.0,No,0.745,High,1
Technical Builder,Recession,34,3,EdTech,Seed,Remote,19,52,45.9,6.8,3.9,12.1,6.5,4.3,3.6,3.9,2.7,Low,0,-5.0,13.1,9.2,26.2,10.0,Yes,0.38,Medium,0
Serial Entrepreneur,Stable Economy,42,6,AI,Series A,Remote,77,95,52.3,5.6,5.4,7.9,8.7,0.9,1.9,1.0,1.0,Low,0,4.3,16.7,4.3,17.3,10.0,Yes,0.095,Low,0
Chaotic Innovator,Stable Economy,23,1,Biotech,Bootstrapped,Office,7,88,73.5,4.6,2.9,14.0,3.4,4.6,5.7,5.3,4.5,Moderate,0,7.4,6.6,2.7,30.7,6.6,No,0.85,High,1
Visionary CEO,Stable Economy,35,0,HealthTech,Series A,Remote,60,116,68.5,5.9,1.9,2.7,5.3,4.3,5.1,4.7,5.4,Moderate,0,26.5,14.5,2.5,34.9,5.4,No,0.423,Medium,0
Serial Entrepreneur,Recession,39,3,AI,Series A,Remote,31,88,28.0,6.8,5.9,25.5,10.0,0.5,1.3,2.8,1.0,Low,0,2.6,10.0,8.7,19.0,10.0,Yes,0.188,Low,0
